shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.635026,-106.527904,465,8459.06163601
p_914339,39.635133,-106.527834,466,8472.37496247
p_914339,39.635166,-106.52777,467,8478.97877113
p_914339,39.634859,-106.52684,468,8565.7880192
p_914339,39.634572,-106.52602,469,8643.05884466
p_914339,39.634372,-106.525418,470,8699.30761223
p_914339,39.634251,-106.525075,471,8731.67322748
p_914339,39.634183,-106.524883,472,8749.80282487
p_914339,39.634156,-106.524828,473,8755.39570103
p_914339,39.634129,-106.524775,474,8760.84440664
p_914339,39.63411,-106.524713,475,8766.56977342
p_914339,39.63409,-106.52459,476,8777.36002286
p_914339,39.634067,-106.524502,477,8785.33456314
p_914339,39.634071,-106.524448,478,8789.99157599
p_914339,39.634078,-106.52438,479,8795.88074341
p_914339,39.634117,-106.524399,480,8800.50784671
p_914339,39.634132,-106.524338,481,8806.00301174
p_914339,39.634193,-106.524132,482,8824.94017418
p_914339,39.634232,-106.524002,483,8836.91096435
p_914339,39.634357,-106.523582,484,8875.54576297
p_914339,39.634403,-106.52343,485,8889.55847546
p_914339,39.63443,-106.523323,486,8899.22094157
p_914339,39.634441,-106.523216,487,8908.48745706
p_914339,39.634438,-106.523071,488,8920.93979669
p_914339,39.634415,-106.522987,489,8928.58978392
p_914339,39.634377,-106.522873,490,8939.24709494
p_914339,39.634323,-106.52272,491,8953.68543815
p_914339,39.634315,-106.52269,492,8956.40973066
p_914339,39.63427,-106.522614,493,8964.62742636
p_914339,39.634243,-106.522522,494,8973.07518955
p_914339,39.63422,-106.522438,495,8980.72519584
p_914339,39.634167,-106.522408,496,8987.14857242
p_914339,39.634132,-106.522354,497,8993.19764007
p_914339,39.634113,-106.522308,498,8997.674772
p_914339,39.634106,-106.522263,499,9001.61532962
p_914339,39.634109,-106.522194,500,9007.54819116
p_914339,39.634125,-106.522141,501,9012.43262311
p_914339,39.634144,-106.52211,502,9015.82858006
p_914339,39.634163,-106.522087,503,9018.71799949
p_914339,39.634163,-106.521996,504,9026.53015094
p_914339,39.634155,-106.521927,505,9032.51987432
p_914339,39.634171,-106.521896,506,9035.71958824
p_914339,39.634193,-106.521858,507,9039.79492696
p_914339,39.634144,-106.521805,508,9046.88712968
p_914339,39.634068,-106.521767,509,9055.93387391
p_914339,39.633873,-106.521729,510,9077.82864997
p_914339,39.633743,-106.521706,511,9092.39666859
p_914339,39.633663,-106.521652,512,9102.41586929
p_914339,39.633572,-106.521545,513,9116.07089258
p_914339,39.633537,-106.521469,514,9123.6649507
p_914339,39.633522,-106.521439,515,9126.73196681
p_914339,39.633331,-106.520821,516,9183.86765976
p_914339,39.633327,-106.520721,517,9192.46402428
p_914339,39.633327,-106.520683,518,9195.72628064
p_914339,39.633347,-106.520615,519,9201.97206626
p_914339,39.633411,-106.520447,520,9218.05010081
p_914339,39.633423,-106.520424,521,9220.43208309
p_914339,39.633472,-106.520332,522,9230.02255286
p_914339,39.633499,-106.520287,523,9234.91241063
p_914339,39.633537,-106.520226,524,9241.63729617
p_914339,39.633713,-106.519905,525,9275.41973805
p_914339,39.633766,-106.519798,526,9286.32869408
p_914339,39.63377,-106.519791,527,9287.07592946
p_914339,39.633808,-106.519722,528,9294.34838418
p_914339,39.633854,-106.519501,529,9313.99624378
p_914339,39.6338,-106.519472,530,9320.48808558
p_914339,39.633867,-106.519376,531,9331.59023151
p_914339,39.633925,-106.519217,532,9346.68284625
p_914339,39.633972,-106.519134,533,9355.51471041
p_914339,39.634011,-106.519084,534,9361.61178141
p_914339,39.634134,-106.518879,535,9383.88768349
p_914339,39.634201,-106.518755,536,9396.87441728
p_914339,39.634406,-106.518365,537,9437.35894525
p_914339,39.634476,-106.518207,538,9452.99167867
p_914339,39.634689,-106.517903,539,9488.21032844
p_914339,39.634778,-106.517837,540,9499.60092757
p_914339,39.634885,-106.518093,541,9524.58320931
p_914339,39.635098,-106.51862,542,9575.63261073
p_914339,39.63513,-106.518713,543,9584.3712064
p_914339,39.635166,-106.518904,544,9601.24804736
p_914339,39.635168,-106.519015,545,9610.77960437
p_914339,39.635172,-106.519089,546,9617.14775566
p_914339,39.635164,-106.519174,547,9624.49857511
p_914339,39.635147,-106.519331,548,9638.10801045
p_914339,39.635127,-106.519412,549,9645.40753575
p_914339,39.635095,-106.519503,550,9653.98955357
p_914339,39.634976,-106.519798,551,9682.55368217
